dataset,candidate,bootstrap,seed,n_patients,state,qualified,movement,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,runtime_s
AML,GraphFlow,250,20260903,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0009496925087666,0.048914080695473,0.0103226797182117,-0.004539471499836,0.024098489259854,1.0,0.1443195065844314,0.1339968268662197,2.783862352371216
AML,GraphFlow,250,20261003,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0042207998995251,0.0455863494556482,0.0104483806847096,-0.0010926574563527,0.0261961622079681,1.0,0.1443195065844314,0.1338711258997218,2.645020008087158
AML,GraphFlow,250,20261103,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0008537384366514,0.0437247649462817,0.0106536297912538,-0.0031635480269588,0.0233812842359522,1.0,0.1443195065844314,0.1336658767931776,2.703875541687012
AML,GraphFlow,250,20261203,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0035600237732922,0.0479335054391472,0.0106598229082232,-0.0053837708901347,0.0274720822695879,1.0,0.1443195065844314,0.1336596836762081,2.531419038772583
AML,GraphFlow,500,20260903,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.000406330447801,0.0466404666844154,0.0104564738766179,-0.0040265623318193,0.024028431945467,1.0,0.1443195065844314,0.1338630327078135,2.445160150527954
AML,GraphFlow,500,20261003,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.003060341104651,0.0468961086916662,0.0106500133159931,-0.0022364697960915,0.0247105103177353,1.0,0.1443195065844314,0.1336694932684383,2.476371049880981
AML,GraphFlow,500,20261103,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0013944057093749,0.0457906261971862,0.0107238842784292,-0.0033150281899187,0.0250396100664271,1.0,0.1443195065844314,0.1335956223060022,2.566893577575684
AML,GraphFlow,500,20261203,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0030651534121588,0.0473670179880758,0.010687475712069,-0.002230718885541,0.0263160480074927,1.0,0.1443195065844314,0.1336320308723624,2.54878044128418
AML,GraphFlow,1000,20260903,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0011990730354458,0.0469277758628686,0.0106230532702986,-0.0035864145762985,0.0245816473772999,1.0,0.1443195065844314,0.1336964533141328,2.542676448822021
AML,GraphFlow,1000,20261003,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0004998585550846,0.0473840770725342,0.0106223605121473,-0.0030099494840509,0.0250756098434142,1.0,0.1443195065844314,0.133697146072284,2.4544591903686523
AML,GraphFlow,1000,20261103,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0013309877223282,0.044960229041257,0.0107056799952491,-0.0027844946689605,0.025279355769631,1.0,0.1443195065844314,0.1336138265891823,2.5237956047058105
AML,GraphFlow,1000,20261203,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0019253172071203,0.0470347613292699,0.010687475712069,-0.002767154541949,0.0259554505126612,1.0,0.1443195065844314,0.1336320308723624,2.455824375152588
AML,GraphFlow,2000,20260903,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0008386474660122,0.0460506653762636,0.0106692714288889,-0.0033727327482892,0.0251469497517047,1.0,0.1443195065844314,0.1336502351555425,2.5847747325897217
AML,GraphFlow,2000,20261003,21,Equivocal,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,-0.0001705894462819,0.0458864939578989,0.0106780271914033,-0.003040051506897,0.0253820934553072,1.0,0.1443195065844314,0.133641479393028,2.5566534996032715
AML,GraphFlow,2000,20261103,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0011906374535525,0.0459154349151856,0.0106598229082232,-0.0032967230140894,0.0254653599479562,1.0,0.1443195065844314,0.1336596836762081,2.616271495819092
AML,GraphFlow,2000,20261203,21,Promising,False,0.1875403545878145,0.1377129436989591,0.0228599205287271,0.0011893142574662,0.0459898935206782,0.0106510671457088,-0.0033410746029297,0.0253077513263705,1.0,0.1443195065844314,0.1336684394387225,2.599525451660156
GSE123813,RobustBlend,250,20260903,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0129952704729221,0.0345720401807502,0.0074125575616616,0.0029330270995818,0.0121384411432217,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5722379684448242
GSE123813,RobustBlend,250,20261003,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0109353858470099,0.0340966478915749,0.0074125575616616,0.0022103832253133,0.0130857318380557,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5523221492767334
GSE123813,RobustBlend,250,20261103,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0118516794405972,0.0349480125741002,0.0074125575616616,0.002342348008972,0.0131428568237192,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.548335075378418
GSE123813,RobustBlend,250,20261203,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0106996921261235,0.0346489088503417,0.0074125575616616,0.0021668167266451,0.0135378675121701,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5730886459350586
GSE123813,RobustBlend,500,20260903,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.011857046805802,0.0343972493586892,0.0074125575616616,0.0028277669695411,0.0130185962544068,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5634026527404785
GSE123813,RobustBlend,500,20261003,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0110799842345103,0.0341639086044271,0.0074125575616616,0.0022103832253133,0.0133463535367078,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5584228038787842
GSE123813,RobustBlend,500,20261103,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0112700427642304,0.0353760327793027,0.0074125575616616,0.0025057227706182,0.0130986342570084,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5175185203552246
GSE123813,RobustBlend,500,20261203,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0112023488430693,0.0340534237561565,0.0074125575616616,0.0021808704358929,0.0133755215302306,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5647609233856201
GSE123813,RobustBlend,1000,20260903,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0116298891325425,0.0348725806756476,0.0074125575616616,0.0025367920553558,0.0129399203200394,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.4966804981231689
GSE123813,RobustBlend,1000,20261003,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0118242939268771,0.0344181628761908,0.0074125575616616,0.0022103832253133,0.0129313875132909,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.4800834655761719
GSE123813,RobustBlend,1000,20261103,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0118214451789759,0.035285795615975,0.0074125575616616,0.0025918229730366,0.013145135620584,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.4924268722534179
GSE123813,RobustBlend,1000,20261203,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0108974841543234,0.0346816246048456,0.0074125575616616,0.0024435298159192,0.0130316560238577,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5144472122192383
