dataset,reference,candidate,patients,pairs,state,qualified,movement_contrast,movement_contrast_lcb,movement_ratio,utility,utility_lo,utility_hi,retention,retention_lo,retention_hi,retention_stability,reference_risk,retained_risk,seconds,bootstrap,seed
GSE123813,nested,RobustBlend,9,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.8615276731770238,0.0225661254897768,0.0112171983243259,0.0351811956638505,0.0074125575616616,0.0024179574434376,0.0131626500126282,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5289804935455322,1000,20260901
GSE123813,Persistence,RobustBlend,9,9,Equivocal,False,0.1295655393776516,0.1083909289028711,0.8615276731770238,0.0014736446354192,-0.0183127876676528,0.0190027001530743,0.0,0.0,0.0,0.0,0.0494889995721569,0.0494889995721569,0.4561092853546142,1000,20261901
GSE123813,CohortMean,RobustBlend,9,9,Equivocal,False,0.1295655393776516,0.1083909289028711,0.8615276731770238,-0.0030573517676994,-0.0300297932600437,0.0217184446543669,0.0,0.0,0.0,0.0,0.0449580031690382,0.0449580031690382,0.4154415130615234,1000,20262901
GSE123813,MeanDelta,RobustBlend,9,9,Equivocal,False,0.1295655393776516,0.1083909289028711,0.8615276731770238,-0.0013200388057901,-0.012002438192219,0.0080362457365891,0.0,0.0,0.0,0.0,0.0466953161309475,0.0466953161309475,0.4135942459106445,1000,20263901
GSE272993_9state,nested,RobustBlend,35,113,Promising,False,0.0688854174008777,0.0640920998921176,0.4110784216303386,0.0014106706782444,0.0004346561782926,0.0023860295306647,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.700722455978394,1000,20270901
GSE272993_9state,Persistence,RobustBlend,35,113,Promising,False,0.0688854174008777,0.0640920998921176,0.4110784216303386,0.0010847957896559,1.824857471573221e-05,0.0022395713757099,0.0,0.0,0.0,0.0,0.0403473902303893,0.0403473902303893,7.423764944076538,1000,20271901
GSE272993_9state,CohortMean,RobustBlend,35,113,Qualified,True,0.0688854174008777,0.0640920998921176,0.4110784216303386,0.0203612670802291,0.0140307442849936,0.0270856362733045,0.018173907700938,0.0134752656554695,0.0231146711942651,1.0,0.0596238615209626,0.0414499538200245,7.410054922103882,1000,20272901
GSE272993_9state,MeanDelta,RobustBlend,35,113,Promising,False,0.0688854174008777,0.0640920998921176,0.4110784216303386,0.0010334898139329,0.0001520363650106,0.0019587994454952,0.0,0.0,0.0,0.0,0.0402960842546664,0.0402960842546664,7.44955039024353,1000,20273901
GSE236581,nested,RobustBlend,21,34,Adverse,False,0.0820246408361404,0.0710490376710957,0.3317041426162181,-0.0130510070851946,-0.0266423302892166,-0.0010575644095975,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.086980104446411,1000,20280901
GSE236581,Persistence,RobustBlend,21,34,Promising,False,0.0820246408361404,0.0710490376710957,0.3317041426162181,0.0075933121836625,0.0017934695533131,0.0138764288073559,-0.0001321959339211,-0.0003567312249181,0.0,0.0952380952380952,0.1147544057685497,0.1148866017024708,2.312083959579468,1000,20281901
GSE236581,CohortMean,RobustBlend,21,34,Adverse,False,0.0820246408361404,0.0710490376710957,0.3317041426162181,-0.0130510070851946,-0.0264111124697307,-0.0013374145451431,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,2.365084171295166,1000,20282901
GSE236581,MeanDelta,RobustBlend,21,34,Promising,False,0.0820246408361404,0.0710490376710957,0.3317041426162181,0.0095287030572408,0.004732654090559,0.0143319752055152,-0.0001605583456006,-0.0005566095827648,0.0001105009585299,0.3333333333333333,0.1166897966421279,0.1168503549877286,2.395305156707764,1000,20283901
GSE120575,nested,RobustBlend,8,8,Equivocal,False,0.1354673808993371,0.1021141971273568,0.5097202942733928,-0.0086130408285443,-0.0443775550170326,0.02896703333336,-0.0022628545851136,-0.0054269305659917,0.0001353095797401,0.375,0.1124816468669122,0.1147445014520258,0.401874303817749,1000,20290901
GSE120575,Persistence,RobustBlend,8,8,Equivocal,False,0.1354673808993371,0.1021141971273568,0.5097202942733928,0.0100546648983198,-0.0125442197180987,0.0346196024600418,-0.0012429833928153,-0.003728950178446,0.0,0.125,0.1311493525937764,0.1323923359865917,0.3446033000946045,1000,20291901
GSE120575,CohortMean,RobustBlend,8,8,Equivocal,False,0.1354673808993371,0.1021141971273568,0.5097202942733928,-0.0086130408285443,-0.0413187359252327,0.0275692126541022,0.0,0.0,0.0,0.0,0.1124816468669122,0.1124816468669122,0.349891185760498,1000,20292901
GSE120575,MeanDelta,RobustBlend,8,8,Equivocal,False,0.1354673808993371,0.1021141971273568,0.5097202942733928,0.0040528808615336,-0.0070346254887583,0.0125040684769751,0.0,0.0,0.0,0.0,0.1251475685569903,0.1251475685569903,0.3376176357269287,1000,20293901
GSE179994,nested,RobustBlend,8,8,Equivocal,False,0.1339977754637455,0.1138225368132621,0.7705928195167382,0.0165733458730032,-0.0031349354498377,0.0511582434464517,-0.000969862140104,-0.0029274421172833,1.7855696971132498e-05,0.25,0.0879422460056287,0.0889121081457328,0.3826935291290283,1000,20300901
GSE179994,Persistence,RobustBlend,8,8,Equivocal,False,0.1339977754637455,0.1138225368132621,0.7705928195167382,0.0059463791510435,-0.0167255819322557,0.0271118612318873,0.0011199424499821,0.0,0.0026629905570953,0.25,0.077315279283669,0.0761953368336869,0.3330810070037842,1000,20301901
GSE179994,CohortMean,RobustBlend,8,8,Equivocal,False,0.1339977754637455,0.1138225368132621,0.7705928195167382,0.0113145355988826,-0.018322013362465,0.0486382807994776,-0.0006108435124285,-0.0022957040098695,0.0004631734725838,0.25,0.0826834357315081,0.0832942792439367,0.3299226760864258,1000,20302901
GSE179994,MeanDelta,RobustBlend,8,8,Equivocal,False,0.1339977754637455,0.1138225368132621,0.7705928195167382,-0.0019922050772072,-0.0064465603098366,0.0024182268323443,0.0,0.0,0.0,0.0,0.0693766950554182,0.0693766950554182,0.3380591869354248,1000,20303901
GSE175522,nested,RobustBlend,6,6,Equivocal,False,0.0657774344576525,0.0501953317787127,1.0177704250082016,-0.0010617183647251,-0.0064592675907608,0.0048973292308559,0.0,0.0,0.0,0.0,0.0218485391092853,0.0218485391092853,0.2165639400482177,1000,20310901
GSE175522,Persistence,RobustBlend,6,6,Equivocal,False,0.0657774344576525,0.0501953317787127,1.0177704250082016,-0.0010617183647251,-0.0064600682454427,0.00525228427068,0.0,0.0,0.0,0.0,0.0218485391092853,0.0218485391092853,0.1948013305664062,1000,20311901
GSE175522,CohortMean,RobustBlend,6,6,Qualified,True,0.0657774344576525,0.0501953317787127,1.0177704250082016,0.025616601973378,0.0164068107724564,0.0363273892614861,0.0238381353686869,0.0124929678534735,0.0354727676834154,1.0,0.0485268594473885,0.0246887240787016,0.2000641822814941,1000,20312901
GSE175522,MeanDelta,RobustBlend,6,6,Equivocal,False,0.0657774344576525,0.0501953317787127,1.0177704250082016,-0.0002583258322378,-0.0015007395254906,0.0010251700602559,0.0,0.0,0.0,0.0,0.0226519316417726,0.0226519316417726,0.1923599243164062,1000,20313901
HCC,nested,RobustBlend,9,14,Equivocal,False,0.1346080808022139,0.0898831148403922,0.5402774595793329,0.000164937160257,-0.0106704410339476,0.010257897617693,-0.0011403411487643,-0.0061448322252975,0.0030907998133292,0.3333333333333333,0.1131183930920565,0.1142587342408209,0.499800443649292,1000,20320901
HCC,Persistence,RobustBlend,9,14,Equivocal,False,0.1346080808022139,0.0898831148403922,0.5402774595793329,-0.0022602180399374,-0.0151685683053744,0.0092645703820383,0.0,0.0,0.0,0.0,0.110693237891862,0.110693237891862,0.4307935237884521,1000,20321901
HCC,CohortMean,RobustBlend,9,14,Equivocal,False,0.1346080808022139,0.0898831148403922,0.5402774595793329,0.0240305261900697,-0.0254985541128355,0.0797328698733064,-0.0003652022154965,-0.0010956066464897,0.0,0.1111111111111111,0.1369839821218693,0.1373491843373658,0.4387500286102295,1000,20322901
HCC,MeanDelta,RobustBlend,9,14,Equivocal,False,0.1346080808022139,0.0898831148403922,0.5402774595793329,-0.0032204119381931,-0.0131641935197785,0.0073183006421674,0.0,0.0,0.0,0.0,0.1097330439936063,0.1097330439936063,0.4381446838378906,1000,20323901
AML,nested,GraphFlow,21,21,Equivocal,False,0.1875403545878145,0.1377129436989591,0.5576642874765942,0.0228599205287271,-3.177405364352663e-05,0.0468840722183762,0.0107056799952491,-0.002863903408844,0.0260499767347788,1.0,0.1443195065844314,0.1336138265891823,2.46815037727356,1000,20330901
AML,Persistence,GraphFlow,21,21,Qualified,True,0.1875403545878145,0.1377129436989591,0.5576642874765942,0.0307532755357305,0.0049384831024496,0.0575511460439723,0.0161227197864084,0.0067288900329557,0.0250821868494425,1.0,0.1522128615914348,0.1360901418050263,1.7073218822479248,1000,20331901
AML,CohortMean,GraphFlow,21,21,Equivocal,False,0.1875403545878145,0.1377129436989591,0.5576642874765942,0.0131367310551021,-0.0065958913394562,0.0352912095440426,0.001832378938326,-0.0020398934257037,0.0047365651865701,0.9523809523809524,0.1345963171108064,0.1327639381724803,1.756211519241333,1000,20332901
AML,MeanDelta,GraphFlow,21,21,Equivocal,False,0.1875403545878145,0.1377129436989591,0.5576642874765942,0.0162937162124981,-0.0012145287730167,0.0348498447455695,0.0010811258345657,-0.0014243317221592,0.0034932527439446,0.9047619047619048,0.1377533022682024,0.1366721764336367,1.8030080795288088,1000,20333901
